Skill_Operating Systems,Skill_Algorithms,Skill_Programming Concepts,Skill_Software Engineering,Skill_Computer Networks,Skill_Computer Architecture,Skill_Mathematics,Skill_Communication skills,Working_Hours,Skill_Logical Thinking,No of Hackathons,Skill_Coding,Skill_public speaking,Skill_self-learning,Skill_memory capability,Skill_reading and writing,Gentle or Stubborn?,Management or Technical?,Salary or Work?,Hard or Smart Worker?,Skill_teamwork,Introvert or Extrovert?,Other_Certifications,Workshops,Interested subjects,Interested career area,Type_of_company,Interested Type of Books,Suggested Job Role
69,63,78,87,94,87,84,61,9,4,0,4,8,yes,excellent,excellent,stubborn,Management,salary,hard worker,yes,no,shell programming,cloud computing,cloud computing,system developer,Web Services,Prayer books,Database Developer
78,62,73,60,71,73,84,91,12,7,1,2,3,no,medium,poor,gentle,Technical,salary,hard worker,no,yes,machine learning,database security,networks,Business process analyst,SAaS services,Childrens,Portal Administrator
71,86,91,87,61,72,72,94,11,1,4,1,3,no,excellent,poor,stubborn,Management,work,hard worker,no,yes,app development,web technologies,hacking,developer,Sales and Marketing,Travel,Portal Administrator
76,87,60,84,89,62,88,69,7,1,1,2,5,yes,excellent,medium,gentle,Management,work,smart worker,yes,yes,python,data science,networks,testing,Testing and Maintainance Services,Romance,Systems Security Administrator
92,62,90,67,71,73,71,73,4,5,4,6,3,no,excellent,poor,stubborn,Management,work,hard worker,yes,yes,app development,cloud computing,Computer Architecture,testing,product development,Cookbooks,Business Systems Analyst
88,86,62,79,93,69,71,82,11,5,3,8,1,yes,medium,poor,stubborn,Management,work,smart worker,yes,no,python,database security,programming,system developer,Testing and Maintainance Services,Self help,Software Systems Engineer
93,77,69,79,90,73,63,77,6,3,2,3,3,no,poor,excellent,gentle,Technical,salary,hard worker,yes,yes,r programming,cloud computing,parallel computing,security,Business Process Analysis,Drama,Database Developer
84,72,88,62,66,78,94,60,12,2,1,6,6,no,excellent,poor,stubborn,Technical,salary,smart worker,no,no,r programming,cloud computing,parallel computing,developer,Business Process Analysis,Romance,Business Intelligence Analyst
73,66,66,81,81,61,87,90,10,5,2,4,8,yes,poor,poor,gentle,Technical,work,hard worker,yes,yes,information security,testing,IOT,developer,Business Process Analysis,Math,Business Systems Analyst
62,76,85,91,82,63,63,81,10,9,0,5,4,no,poor,excellent,gentle,Management,salary,hard worker,yes,no,app development,data science,data engineering,Business process analyst,product development,Religion-Spirituality,CRM Technical Developer
73,80,70,83,61,75,94,89,8,6,2,3,9,no,poor,medium,stubborn,Management,salary,hard worker,yes,yes,hadoop,database security,parallel computing,security,Sales and Marketing,Cookbooks,Mobile Applications Developer
63,76,81,90,70,86,89,85,8,3,6,9,7,yes,excellent,medium,stubborn,Management,work,smart worker,yes,no,machine learning,hacking,parallel computing,testing,Testing and Maintainance Services,Anthology,UX Designer
63,64,61,67,61,65,64,79,8,2,2,8,6,no,poor,medium,stubborn,Technical,work,smart worker,yes,no,distro making,game development,cloud computing,system developer,Service Based,Trilogy,CRM Technical Developer
68,93,77,60,77,67,81,91,12,5,3,6,5,no,poor,poor,stubborn,Management,work,smart worker,yes,yes,python,testing,parallel computing,developer,Testing and Maintainance Services,Autobiographies,Business Systems Analyst
90,83,66,71,65,86,63,62,9,6,2,3,8,no,poor,poor,stubborn,Management,work,hard worker,yes,no,machine learning,hacking,Software Engineering,security,Testing and Maintainance Services,Math,Quality Assurance Associate
94,71,63,74,61,65,62,68,4,7,6,5,8,yes,excellent,medium,stubborn,Technical,salary,hard worker,no,no,information security,system designing,networks,testing,Testing and Maintainance Services,Childrens,Web Developer
60,92,94,90,62,62,73,60,11,7,5,5,4,no,medium,medium,gentle,Technical,work,hard worker,yes,yes,app development,hacking,IOT,developer,Sales and Marketing,Mystery,Web Developer
92,86,61,63,64,92,65,60,4,9,6,3,4,yes,excellent,medium,stubborn,Management,salary,smart worker,yes,no,hadoop,web technologies,hacking,security,product development,Math,Information Security Analyst
82,91,68,86,78,91,82,82,12,8,0,7,1,no,medium,medium,stubborn,Technical,work,hard worker,yes,no,machine learning,testing,Computer Architecture,Business process analyst,Web Services,Diaries,CRM Business Analyst
